Type,East (km),North (km),Time (ms from UET)
Body,53.734,98.246,1.73678E+11
Body,58.921,72.149,1.77307E+11
Body,88.589,87.281,1.83877E+11
Body,90.871,88.816,1.90962E+11
Body,88.382,88.377,2.00462E+11
Body,85.062,87.939,2.23967E+11
Body,67.22,86.404,2.3062E+11
Body,86.515,88.816,2.36059E+11
Body,66.805,84.43,2.37355E+11
Body,10.373,0.877,2.44526E+11
Body,67.427,82.895,2.54293E+11
Body,61.203,59.868,2.55071E+11
Body,12.448,5.482,2.64139E+11
Body,56.224,68.86,2.9205E+11
Body,70.539,81.798,3.05093E+11
Body,76.556,87.5,3.35592E+11
Body,90.456,86.404,3.38616E+11
Body,65.768,57.675,3.42248E+11
Body,92.739,91.009,3.43285E+11
Location,63.278,81.14,0
Location,64.938,87.5,0
